▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.0.25:3001
- Environments: .env.local
✓ Ready in 607ms

⚠ metadataBase property in metadata export is not set for resolving social open graph or twitter images, using "http://localhost:3001". See https://nextjs.org/docs/app/api-reference/functions/generate-metadata#metadatabase
 GET /en/champions/Norra 200 in 90ms (next.js: 13ms, proxy.ts: 5ms, application-code: 72ms)
 GET /en/champions/Garen 200 in 88ms (next.js: 5ms, proxy.ts: 19ms, application-code: 63ms)
 GET /en/champions/Garen 200 in 73ms (next.js: 5ms, proxy.ts: 6ms, application-code: 62ms)
 GET /en/champions/InvalidChampionName123 200 in 77ms (next.js: 7ms, proxy.ts: 6ms, application-code: 64ms)
 GET /en/patches?q=Garen%27s 200 in 81ms (next.js: 8ms, proxy.ts: 5ms, application-code: 68ms)
 GET /en/patches 200 in 76ms (next.js: 13ms, proxy.ts: 5ms, application-code: 57ms)
 GET /en/calculator 200 in 1041ms (next.js: 942ms, proxy.ts: 6ms, application-code: 93ms)
 GET /en/calculator 200 in 112ms (next.js: 12ms, proxy.ts: 4ms, application-code: 95ms)
 GET /ja/calculator 200 in 95ms (next.js: 7ms, proxy.ts: 6ms, application-code: 81ms)
 GET /ja 200 in 104ms (next.js: 14ms, proxy.ts: 5ms, application-code: 85ms)
 GET /en 200 in 78ms (next.js: 5ms, proxy.ts: 4ms, application-code: 69ms)
 GET /en/patches 200 in 88ms (next.js: 13ms, proxy.ts: 5ms, application-code: 70ms)
 GET /ja/champions/Norra 200 in 88ms (next.js: 13ms, proxy.ts: 6ms, application-code: 69ms)
 GET /en/calculator 200 in 123ms (next.js: 12ms, proxy.ts: 5ms, application-code: 106ms)
 GET /en/patches 200 in 77ms (next.js: 7ms, proxy.ts: 5ms, application-code: 66ms)
 GET /en 200 in 104ms (next.js: 13ms, proxy.ts: 5ms, application-code: 86ms)
 GET /en/champions 200 in 125ms (next.js: 18ms, proxy.ts: 5ms, application-code: 101ms)
 GET /ja/patches?q=Norra 200 in 132ms (next.js: 14ms, proxy.ts: 6ms, application-code: 112ms)
 GET /en/calculator 200 in 168ms (next.js: 13ms, proxy.ts: 10ms, application-code: 145ms)
 GET /en/champions 200 in 94ms (next.js: 9ms, proxy.ts: 6ms, application-code: 79ms)
 GET /ja/champions 200 in 110ms (next.js: 7ms, proxy.ts: 6ms, application-code: 98ms)
 GET /ja 200 in 111ms (next.js: 12ms, proxy.ts: 6ms, application-code: 93ms)
 GET /en 200 in 91ms (next.js: 7ms, proxy.ts: 5ms, application-code: 78ms)
 GET /ja/champions 200 in 88ms (next.js: 14ms, proxy.ts: 6ms, application-code: 68ms)
 GET /en/patches 200 in 86ms (next.js: 11ms, proxy.ts: 5ms, application-code: 70ms)
 GET /ja/calculator 200 in 125ms (next.js: 17ms, proxy.ts: 6ms, application-code: 102ms)
 GET /en/champions/Garen 200 in 107ms (next.js: 17ms, proxy.ts: 5ms, application-code: 86ms)
 GET /ja/champions/Garen 200 in 99ms (next.js: 6ms, proxy.ts: 5ms, application-code: 89ms)
 GET /ja 200 in 121ms (next.js: 14ms, proxy.ts: 6ms, application-code: 101ms)
▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.0.25:3001
- Environments: .env.local
✓ Ready in 512ms

